Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,EID
"Journal of Applied Polymer Science",10.1002/app.44651,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005993423&doi=10.1002%2fapp.44651&partnerID=40&md5=582472a56cd3bf24792dd63107afc04c","Enikolopov Institute of Synthetic Polymer Materials Russian Academy of Sciences, Moscow, Russian Federation; Shemyakin & Ovchinnikov Institute of Bioorganic Chemistry Russian Academy of Sciences, Moscow, Russian Federation","Chitosan-based hydrogels are considered as promising biomaterials for tissue engineering. Biological properties of chitosan could be significantly improved by modification of its chemical structure. This study was aimed at characterizing macroporous hydrogels fabricated by freeze-drying technique from chitosan, which has been N-acetylated by 2,2-bis(hydroxymethyl)propionic acid or l,d-lactide. The nature of the acetylated agent was shown to significantly affect hydrogels morphology, swelling behavior, zeta-potential, and protein sorption as well as their degradation by lysozyme. According to scanning electron and confocal laser scanning microscopy, the hydrogels possessed interconnected macroporous network that facilitated cells penetration into the interior regions of the hydrogel. Chemical modification of chitosan significantly influenced L929 cell growth behavior on hydrogel compared to the non-modified chitosan. The proposed chemical strategy for modification of chitosan could be considered as promising approach for improvement of chitosan hydrogels. © 2016 Wiley Periodicals, Inc. J. Appl. Polym. Sci. 2017, 134, 44651. © 2016 Wiley Periodicals, Inc.","biocompatibility; polysaccharides; synthesis and processing techniques","Biocompatibility; Chemical modification; Chitin; Chitosan; Degradation; Polysaccharides; Propionic acid; Tissue engineering; Biological properties; Chitosan derivatives; Confocal laser scanning microscopy; In-vitro evaluation; Macroporous hydrogels; Protein sorptions; Scanning electrons; Synthesis and processing; Hydrogels","15-02-06233 А, RFBR, Russian Foundation for Basic Research","This work was partially supported by the Russian Foundation for Basic Research (projects 15-02-06233 А). The authors thank the Laboratory of cell interactions (Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, RAS) for providing some equipment.",00218995,,JAPNA,,"English",2-s2.0-85005993423
"Applied Surface Science",10.1016/j.apsusc.2016.12.033,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003582785&doi=10.1016%2fj.apsusc.2016.12.033&partnerID=40&md5=523ec5e936fcf8da918512a4e3670600","Tomsk Polytechnic University, 30 Lenin Avenue, Tomsk, Russian Federation; Federal State Budgetary Institution “Research Institute for Complex Issues of Cardiovascular Diseases”, 6 Sosnovy Blvd, Kemerovo, Russian Federation; Griffith University, School of Natural Sciences, NathanQueensland, Australia; Queensland Micro- and Nanotechnology Centre, Griffith University, NathanQueensland, Australia","The deposition of thin titanium coatings using magnetron spattering on the surface of bioresorbable fibrous scaffolds produced by electrospinning was investigated. Parameters that allow the surface modification without damaging the “macro” structure of scaffolds were determined. Physicochemical properties of the modified scaffolds were described using SEM, EDS, DSC, optical goniometry, and mechanical testing. It was shown that plasma treatment has a significant influence on the scaffolds’ fiber surface relief. The modification process leads to a slight decrease of the scaffold mechanical performance mainly caused by polymer crystallization. Increasing the deposition time increases the amount of titanium on the surface. The biocompatibility of the modified scaffolds was studied using hybridoma of the endothelial cells of human umbilical vein and human lung carcinoma (EA.hy 926 cell line). Cell adhesion, viability, and secretion of interleukin-6 (IL6), interleukin-8 (IL8), and vascular endothelial growth factor (VEGF) were investigated. It was demonstrated that the deposition of thin titanium coatings on the fibrous scaffolds’ surface enhances cell adhesion. Additionally, it was determined that modified scaffolds have proangiogenic activity. © 2016 Elsevier B.V.","Biocompatibility; Electrospun scaffolds; Magnetron sputtering; Poly(3-hydroxybutyrate-co-3-hydroxyvalerate); Poly-ε-caprolactone; Thin films; Titanium","Biocompatibility; Cell adhesion; Cell culture; Cell engineering; Cells; Coatings; Cytology; Deposition; Endothelial cells; Magnetron sputtering; Mechanical testing; Metal coatings; Plasma applications; Surface treatment; Thin films; Tissue engineering; Titanium; Caprolactone; Electrospun scaffolds; Physicochemical property; Poly(3-hydroxybutyrate-co-3-hydroxyvalerate); Polymer crystallization; Proangiogenic activities; Vascular endothelial growth factor; Vascular tissue engineering; Scaffolds (biology)","14-25-00050, RSF, Russian Science Foundation","This investigation was performed in the Research Institute for Complex Issues of Cardiovascular Diseases owing to the funding of Russian Science Foundation (project № 14-25-00050).",01694332,,ASUSE,,"English",2-s2.0-85003582785
"Materials Science and Engineering C",10.1016/j.msec.2016.11.039,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006149566&doi=10.1016%2fj.msec.2016.11.039&partnerID=40&md5=0ce6ab2325f476c3b0412a2ac537f069","Oral Rehabilitation, Faculty of Dentistry, The University of Hong Kong, Hong Kong; Kudrinskaja sq. 1–155, Moscow, Russian Federation","Biphasic calcium phosphates (BCP) bioceramics have become the materials of choice in various orthopedic and maxillofacial bone repair procedures. One of their main advantages is their biodegradation rate that can be modified by changing the proportional ratio of the composition phases. For enhanced bone tissue regeneration, the bioactivity of BCP should be increased by optimizing their physicochemical properties. To date, the ideal physicochemical properties of BCP for bone applications have not been defined. This is mostly related to lack of standard study protocols in biomaterial science especially with regards to their characterizations and clinical applications. In this paper we provided a review on BCP and their physicochemical properties relevant to clinical applications. In addition, we summarized the available literature on their use in animal models and evaluated the influences of different composition ratios on bone healing. Controversies in literature with regards to ideal composition ratio of BCP have also been discussed in detail. We illustrated the discrepancies in study protocols among researchers in animal studies and emphasized the need to develop and follow a set of generally accepted standardized guidelines. Finally; we provided general recommendations for future pre-clinical studies that allow better standardization of study protocols. This will allow better comparison and contrast of newly developed bone substitute biomaterials that help further progress in the field of biomaterial science. © 2016 Elsevier B.V.","Bioceramics; Biphasic calcium phosphates; Bone substitutes; Bone tissue engineering; Pre-clinical study; Study protocol","Animals; Bioceramics; Biodegradation; Bone; Calcium; Calcium phosphate; Phosphates; Standardization; Tissue; Tissue engineering; Tissue regeneration; Biodegradation rate; Biphasic calcium phosphates; Bone substitutes; Bone tissue engineering; Bone tissue regeneration; Clinical application; Physicochemical property; Pre-clinical; Biomaterials",,,09284931,,,,"English",2-s2.0-85006149566
"Tissue and Cell",10.1016/j.tice.2016.12.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009893925&doi=10.1016%2fj.tice.2016.12.001&partnerID=40&md5=555a7e1c104db2eae56ccffa55516861","Russian Cardiology Research and Production Complex, Laboratory of Angiogenesis, Moscow, Russian Federation; Lomonosov Moscow State University, Medical Research and Education Centre, Institute of Regenerative Medicine, Laboratory of gene and cell therapy, Moscow, Russian Federation; Lomonosov Moscow State University, Faculty of Medicine, Laboratory of gene and cell technologies, Moscow, Russian Federation","Cell sheets (CS) from c-kit+ cardiac stem cell (CSC) hold a potential for application in regenerative medicine. However, manufacture of CS may require thermoresponsive dishes, which increases cost and puts one in dependence on specific materials. Alternative approaches were established recently and we conducted a short study to compare approaches for detachment of CS from c-kit+ CSC. Our in-house developed method using chelation by Versene solution was compared to UpCell™ thermoresponsive plates in terms of CSC proliferation, viability, gap junction formation and engraftment in a model of myocardial infarction. Use of Versene solution instead of thermoresponsive dishes resulted in comparable CS thickness (approximately 100 mcm), cell proliferation rate and no signs of apoptosis detected in both types of constructs. However, we observed a minor reduction of gap junction count in Versene-treated CS. At day 30 after delivery to infarcted myocardium both types of CS retained at the site of transplantation and contained comparable amounts of proliferating cells indicating engraftment. Thus, we may conclude that detachment of CS from c-kit+ CSC using Versene solution followed by mechanical treatment is an alternative to thermoresponsive plates allowing use of routinely available materials to generate constructs for cardiac repair. © 2016 Elsevier Ltd","Cardiac stem cell; Cell sheet; Myocardial infarction; Thermoresponsive dish; Tissue engineering",,"16-15-00181, RSF, Russian Science Foundation","The study was supported by a Russian Science Foundation grant #16-15-00181 (26.01.2016).",00408166,,TICEB,,"English",2-s2.0-85009893925
"Glass and Ceramics (English translation of Steklo i Keramika)",10.1007/s10717-017-9895-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008433319&doi=10.1007%2fs10717-017-9895-2&partnerID=40&md5=a061b9b44760b687bf3e7aa2f296cfb0","Omsk State Technical University, Omsk, Russian Federation; Omsk State Medical University, Omsk, Russian Federation","Phase formation processes occurring in the open systems CaX2–M2HPO4 /M3PO4–Na2SiO3–H2O are analyzed. It is shown on the basis of the computed values of ΔG of crystallization that it is possible for mixtures of hydroxyapatite and calcium silicate to form in alkaline solutions. It is shown that the precipitation of calcium carbonate is just as likely in ‘wet’ synthesis in air. Ca10(PO4)6(OH)2, CaSiO3, and CaCO3 exhibit bioactivity, which makes it possible to use the system studied for the production of polyphase materials for bone tissue engineering. © 2017 Springer Science+Business Media New York",,"Calcium; Calcium carbonate; Mixtures; Precipitation (chemical); Silicates; Tissue engineering; Alkaline solutions; Bone tissue engineering; Phase formation process; Polyphase materials; Water solutions; Calcium silicate",,,03617610,,GLCEA,,"English",2-s2.0-85008433319
"RSC Advances",10.1039/c6ra26516b,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011263089&doi=10.1039%2fc6ra26516b&partnerID=40&md5=eaaf327357ce78c28bd2f5f35e8d4ebc","Laboratory of Bionanotechnology, V.I.Shumakov Federal Research Center of Transplantology and Artificial Organs, Shchukinskaya str., 1, Moscow, Russian Federation; SNOTRA LLC, Shcherbakovskaya str., 3, Moscow, Russian Federation; Bioengineering Department, Biological Faculty, Lomonosov Moscow State University, GSP-1, Leninskie Gory, Moscow, Russian Federation; National Laboratory Astana, Nazarbayev University, 53 Kabanbay Batyr Avenue, Astana, Kazakhstan","Tissue-specific alginate microspheres surface modified with microparticles of decellularized liver tissue were prepared. The nanostructures of these microspheres were analysed by cryo scanning probe nanotomography. Modification of the surfaces of the alginate microspheres with microparticles of decellularized liver tissue increased surface roughness, the specific effective area, and the average autocorrelation length. Up to seven times more human hepatocellular carcinoma (HepG2) cells were adhered to the modified alginate microspheres than to the unmodified microspheres. The developed alginate microspheres can be used in regenerative medicine and tissue engineering as a biodegradable cell microcarriers. © The Royal Society of Chemistry.",,"Alginate; Cell engineering; Microspheres; Surface roughness; Tissue engineering; Average autocorrelation; Decellularized livers; Effective area; Hepatocellular carcinoma; Micro-particles; Regenerative medicine; Surface-modified; Tissue specifics; Tissue","4360/GF4, Ministry of Education and Science of the Republic of Kazakhstan","This work was supported by the Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan (grant number 4360/GF4).",20462069,,RSCAC,,"English",2-s2.0-85011263089
"Journal of Tissue Engineering and Regenerative Medicine",10.1002/term.2112,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009275378&doi=10.1002%2fterm.2112&partnerID=40&md5=68541a7bb1601edef45dcac5c58862e4","Wake Forest School of Medicine, Winston-Salem, NC, United States; Research Institute of Uronephrology and Reproductive Health, I. M. Sechenov First Moscow State Medical University, Moscow, Russian Federation; Research Institute of Molecular Medicine, I. M. Sechenov First Moscow State Medical University, Moscow, Russian Federation; I. M. Sechenov First Moscow State Medical University, Moscow, Russian Federation; Wake Forest Institute for Regenerative Medicine, Wake Forest University, Winston-Salem, NC, United States","Urethral strictures and anomalies remain among the difficult problems in urology, with urethroplasty procedures being the most effective treatment options. The two major types of urethroplasty are anastomotic urethroplasty and widening the urethral lumen using flaps or grafts (i.e. substitution urethroplasty). However, no ideal material for the latter has been found so far. Designing and selecting such a material is a necessary and challenging endeavour, driving the need for further bioengineered urethral tissue research. This article reviews currently available studies on the potentialities of tissue engineering in urethral reconstruction, in particular those describing the use of both acellular and recellularized tissue-engineered constructs in animal and human models. Possible future developments in this field are also discussed. Copyright © 2015 John Wiley & Sons, Ltd. Copyright © 2015 John Wiley & Sons, Ltd.","matrices; regenerative medicine; scaffolds; tissue engineering; tissue-engineered constructs; urethral strictures; urethroplasty",,,,19326254,,,,"English",2-s2.0-85009275378
"Journal of Materials Science: Materials in Medicine",10.1007/s10856-016-5822-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006990748&doi=10.1007%2fs10856-016-5822-2&partnerID=40&md5=f9ad610f2868bf0c41eba81d5c94ac25","Institute for Problems of Cryobiology and Cryomedicine of the National Academy of Sciences of Ukraine, Pereyaslavskaya ul. 23, Kharkov, Ukraine; Institute of Macromolecular Compounds of the Russian Academy of Sciences, Bolshoi pr. VO 31, St. Petersburg, Russian Federation; Institute of Silicate Chemistry of the Russian Academy of Sciences, Adm. Makarova nab. 2, St. Petersburg, Russian Federation; Institute of Chemistry, St. Petersburg State University, Universitetskii pr. 26, Petrodvorets, St. Petersburg, Russian Federation","Chitosan scaffolds have gained much attention in various tissue engineering applications, but the effect of their microstructure on cell-material spatial interactions remains unclear. Our objective was to evaluate the effect of chitosan-based matrices doping with chitin nano-whiskers (CNW) on adhesion, spreading, cytoskeleton structure, and proliferation of rat bone marrow stromal cells (BMSCs). The behavior of BMSCs during culture on chitosan-CNW films was determined by the molecular mass, hydrophobicity, porosity, crosslinking degree, protonation degree and molecular structure of the composite chitosan-CNW films. The shape, spreading area, cytoskeleton structure, and proliferation of BMSCs on chitosan matrices with a crystalline structure and high porosity were similar to that observed for BMSCs cultured on polystyrene tissue culture plates. The amorphous polymer structure and high swelling led to a decrease in the spreading area and cell proliferation. Thus, we can control the behavior of cells in culture (adhesion, spreading, and proliferation) by changing the physico-chemical properties of the chitosan-CNW films. © 2016, Springer Science+Business Media New York.",,"Adhesion; Bone; Cell engineering; Cell proliferation; Cells; Chitosan; Composite films; Crosslinking; Cytology; Nanowhiskers; Porosity; Rats; Scaffolds (biology); Semiconductor doping; Tissue; Tissue culture; Tissue engineering; Amorphous polymers; Cross-linking degree; Crystalline structure; Nanofiber composites; Physicochemical property; Spatial interaction; Tissue culture plates; Tissue engineering applications; Chitin","16-19-10536, RSF, Russian Science Foundation",,09574530,,JSMME,,"English",2-s2.0-85006990748
"Journal of Biomedical Materials Research - Part A",10.1002/jbm.a.35870,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983604581&doi=10.1002%2fjbm.a.35870&partnerID=40&md5=94f3a13a78702c92a2cea000a436cb35","Remote Controlled Theranostic Systems Lab, Educational Research Institute of Nanostructures and Biosystem, Saratov State University, Astrakhanskaya, 83, Saratov, Russian Federation; Department of Molecular Biotechnology, Faculty of Bioscience Engineering, Ghent University, Coupure Links 653, Ghent, Belgium; RASA Center in Tomsk, Tomsk Polytechnic University, 634050, Tomsk, Lenin Avenue, 30, Tomsk, Russian Federation; A.V. Shubnikov Institute of Crystallography Russian Academy of Science, Leninskiy prospect 59, Moscow, Russian Federation","The process of porous calcium carbonate (CaCO3) covering on electrospun poly(ε-caprolactone) (PCL) fibers is described in this study. Uniform CaCO3 coatings, composed of vaterite microparticles and its aggregates, were formed on PCL fibers by mineral precipitation from solution under ultrasonic treatment. The porous structure of CaCO3 in vaterite polymorphic form is useful for loading of various substances (drugs and nanoparticles), and this property makes vaterite an appropriate material for design of drug delivery systems. Such mineralization was implemented to attain therapeutic and/or biological activity of tissue engineering scaffolds based on electrospun PCL, by means of CaCO3 coatings. Various structures and polymorphs of CaCO3 coatings were obtained by variation of growth conditions (time of fiber incubation in work solution, ultrasonic treatment of this system). Coating homogeneity, CaCO3 polymorphic form, morphology, and CaCO3 mass can be controlled by number of successive stages of fibrous material treatment. Cytotoxicity tests showed that PCL fibers mineralized with CaCO3 did not release substances toxic for cells. SEM images of PCL/CaCO3 scaffolds cultured with cells demonstrate that scaffolds supported cell adhesion and spreading. The presented results show the new technique of controlled PCL scaffold mineralization with vaterite, and an opportunity of using PCL/CaCO3 as scaffolds for tissue engineering. © 2016 Wiley Periodicals, Inc. J Biomed Mater Res Part A: 105A: 94–103, 2017. © 2016 Wiley Periodicals, Inc.","calcium carbonate; composite fibers; electrospun scaffolds; functional coating; tissue engineering","Bioactivity; Calcium; Cell adhesion; Coatings; Fibers; Functional polymers; Medical applications; Mineralogy; Polymorphism; Protective coatings; Scaffolds (biology); Tissue; Tissue engineering; Ultrasonic applications; Ultrasonic equipment; Biomedical applications; Composite fibers; Electrospun scaffolds; Functional coating; Poly (epsiloncaprolactone); Porous calcium carbonates; Scaffolds for tissue engineering; Tissue engineering scaffold; Calcium carbonate","15–29-01172, RFBR, Russian Foundation for Basic Research; PIRSES-GA-2013–612673, Marie Curie Cancer Care","The authors thank Andrey Zakharevich for providing scanning electron microscopy measurements and Aleksander Scaptsov for providing X-ray diffraction measurements. This study was partially supported by the Government of the Russian Federation to support scientific research projects implemented under the supervision of leading scientists at Russian institutions and Russian institutions of higher education. T.E.L.D. and B.P. thank the Research Foundation Flanders (FWO) for postdoctoral research fellowships. This work was in part supported by Russian Governmental Program “Nauka”, No 4002).",15493296,,JBMRC,,"English",2-s2.0-84983604581
"Journal of Innovative Optical Health Sciences",10.1142/S1793545816500553,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995814390&doi=10.1142%2fS1793545816500553&partnerID=40&md5=d66f058fcf31ec2d438a809682d9a06e","Department of Physics, Voronezh State University, 1 Universitetskaya Sq., Voronezh, Russian Federation; School of Electrical Engineering and Computer Science, University of Ottawa, 800 King Edward Avenue, Ottawa, ON, Canada","A method for investigating the optical properties of human tissues is suggested. The method is based on the measurement of Cherenkov radiation produced by relativistic electrons passing through the tissue. Monte-Carlo simulation of visible photon emission and propagation is carried out taking into account multiple electron and photon scattering processes. Sensitivity of the Cherenkov radiation to the optical characteristics of human tissues is demonstrated. © 2017 The Author(s).","Coherent radiation; human tissue optics; multiple scattering","Coherent scattering; Histology; Intelligent systems; Monte Carlo methods; Multiple scattering; Optical properties; Photons; Radiation; Tissue; Cherenkov radiations; Coherent radiation; Human tissues; Optical characteristics; Photon emissions; Photon scattering; Relativistic electron; Tissue engineering; electron; human; human tissue; light scattering; Monte Carlo method; optics; radiation",,,17935458,,,,"English",2-s2.0-84995814390
