Issn;SJR Best Quartile
ISSN 14710072, 14710080;Q1
ISSN 07320582, 15453278;Q1
ISSN 14710056, 14710064;Q1
ISSN 15424863, 00079235;Q1
ISSN 00928674, 10974172;Q1
ISSN 15454282, 00664146;Q1
ISSN 14741741, 14741733;Q1
ISSN 1474175X;Q1
ISSN 15454509, 00664154;Q1
ISSN 00346861, 15390756;Q1
ISSN 10614036;Q1
ISSN 14764687, 00280836;Q1
ISSN 15487091, 15487105;Q1
ISSN 14710048, 1471003X;Q1
ISSN 14764660, 14761122;Q1
ISSN 00335533, 15314650;Q1
ISSN 17483387;Q1
ISSN 08864691;Q1
ISSN 00092665, 15206890;Q1
ISSN 10870156;Q1
ISSN 17494885;Q1
ISSN 15221210, 00319333;Q1
ISSN 15454126, 0147006X;Q1
ISSN 17401526;Q1
ISSN 10974180, 10747613;Q1
ISSN 19416520, 19416067;Q1
ISSN 03060012, 14604744;Q1
ISSN 15518930, 15518922;Q1
ISSN 01406736, 1474547X;Q1
ISSN 00284793, 15334406;Q1
ISSN 15406261, 00221082;Q1
ISSN 15495469, 10889051;Q1
ISSN 14657392;Q1
ISSN 10788956;Q1
ISSN 14702045, 14745488;Q1
ISSN 15356108;Q1
ISSN 00664197, 15452948;Q1
ISSN 15308995, 10810706;Q1
ISSN 10974164, 10972765;Q1
ISSN 15534006, 15534014;Q1
ISSN 10976256;Q1
ISSN 17452473;Q1
ISSN 10130047;Q1
ISSN 15292908, 15292916;Q1
ISSN 00368075;Q1
ISSN 19345909;Q1
ISSN 15435008;Q1
ISSN 19475454, 19475462;Q1
ISSN 00664308, 15452085;Q1
ISSN 15459985, 15459993;Q1
ISSN 00129682, 14680262;Q1
ISSN 14606976, 00018732;Q1
ISSN 00796425;Q1
ISSN 17554330, 17554349;Q1
ISSN 15504131;Q1
ISSN 15495477, 08909369;Q1
ISSN 14741776;Q1
ISSN 15204898, 00014842;Q1
ISSN 08966273;Q1
ISSN 19410611, 19411405;Q1
ISSN 10922172;Q1
ISSN 15451585, 00664278;Q1
ISSN 14733099;Q1
ISSN 14744422;Q1
ISSN 01695347;Q1
ISSN 00221007;Q1
ISSN 00018392;Q1
ISSN 1076836X, 10635157;Q1
ISSN 17545692;Q1
ISSN 0003486X;Q1
ISSN 00014273;Q1
ISSN 1936122X;Q1
ISSN 01677640, 09680004;Q1
ISSN 13646613;Q1
ISSN 07351097;Q1
ISSN 08939454, 14657368;Q1
ISSN 0304405X;Q1
ISSN 14747596;Q1
ISSN 00220515;Q1
ISSN 1543592X;Q1
ISSN 09628924;Q1
ISSN 17586798, 1758678X;Q1
ISSN 10575987, 15458601;Q1
ISSN 1467937X, 00346527;Q1
ISSN 0732183X;Q1
ISSN 17542189;Q1
ISSN 09359648;Q1
ISSN 15306992, 15306984;Q1
ISSN 15210081, 00316997;Q1
ISSN 19466242, 19466234;Q1
ISSN 15453251, 00664227;Q1
ISSN 17444292;Q1
ISSN 87551209;Q1
ISSN 03637425;Q1
ISSN 15376605, 00029297;Q1
ISSN 00219738;Q1
ISSN 08938512, 10986618;Q1
ISSN 15454304, 03621642;Q1
ISSN 15530957, 15530779;Q1
ISSN 1461023X, 14610248;Q1
ISSN 22111247;Q1
ISSN 19438206;Q1
ISSN 01662236;Q1
ISSN 00796700;Q1
ISSN 0066426X, 15451593;Q1
ISSN 19313128;Q1
ISSN 19457790, 19457782;Q1
ISSN 15524469, 15524450;Q1
ISSN 03601285;Q1
ISSN 07374038, 15371719;Q1
ISSN 00332909;Q1
ISSN 03701573;Q1
ISSN 00028282;Q1
ISSN 09624929;Q1
ISSN 00015962;Q1
ISSN 00219525;Q1
ISSN 00097322, 15244539;Q1
ISSN 01689525;Q1
ISSN 01628828;Q1
ISSN 00223808, 1537534X;Q1
ISSN 0927796X;Q1
ISSN 15485951, 15485943;Q1
ISSN 01686445;Q1
ISSN 13624962, 03051048;Q1
ISSN 14602075, 02614189;Q1
ISSN 00025100;Q1
ISSN 14679868, 13697412;Q1
ISSN 1421993X, 03022838;Q1
ISSN 15345807;Q1
ISSN 00344885, 13616633;Q1
ISSN 01660616;Q1
ISSN 14714981, 14714906;Q1
ISSN 17520894, 17520908;Q1
ISSN 16144961;Q1
ISSN 1545293X, 15278204;Q1
ISSN 2214109X;Q1
ISSN 10888683, 15327957;Q1
ISSN 15200477, 00030007;Q1
ISSN 15280012, 00165085;Q1
ISSN 22242759, 22237755;Q1
ISSN 10471987, 14764989;Q1
ISSN 00027863, 15205126;Q1
ISSN 19360851, 1936086X;Q1
ISSN 0163769X;Q1
ISSN 2168622X, 21686238;Q1
ISSN 01052896, 1600065X;Q1
ISSN 09550674;Q1
ISSN 10477039, 15265455;Q1
ISSN 19411383;Q1
ISSN 15229645, 0195668X;Q1
ISSN 02767783;Q1
ISSN 22138587;Q1
ISSN 00278424, 10916490;Q1
ISSN 13697021;Q1
ISSN 1545326X, 00664219;Q1
ISSN 15454487, 00664170;Q1
ISSN 00738301;Q1
ISSN 01654101;Q1
ISSN 20477538;Q1
ISSN 14765578, 13594184;Q1
ISSN 19319401;Q1
ISSN 17590884, 17590876;Q1
ISSN 00905364;Q1
ISSN 10886834, 08940347;Q1
ISSN 01492063;Q1
ISSN 00222429, 15477185;Q1
ISSN 14320533, 00016322;Q1
ISSN 15291006;Q1
ISSN 20411723;Q1
ISSN 00670049, 15384365;Q1
ISSN 17480132;Q1
ISSN 00175749, 14683288;Q1
ISSN 14647931;Q1
ISSN 00987484;Q1
ISSN 16146840, 16146832;Q1
ISSN 00064971, 15280020;Q1
ISSN 00982997;Q1
ISSN 15424766, 15424774;Q1
ISSN 2050084X;Q1
ISSN 1044579X, 10963650;Q1
ISSN 19430264;Q1
ISSN 15537404, 15537390;Q1
ISSN 01432095, 10970266;Q1
ISSN 14337851, 15213773;Q1
ISSN 14338351;Q1
ISSN 19358237;Q1
ISSN 00278874;Q1
ISSN 15460738, 15458636;Q1
ISSN 17517362, 17517370;Q1
ISSN 10694730;Q1
ISSN 15454118, 15317331;Q1
ISSN 00831972;Q1
ISSN 10409238, 15497798;Q1
ISSN 15375943, 00030554;Q1
