Title,Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Source,EID
"Geodetic grids in authoritative maps–new findings about the origin of the UTM Grid","Cartography and Geographic Information Science",10.1080/15230406.2015.1128851,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954207614&doi=10.1080%2f15230406.2015.1128851&partnerID=40&md5=929136ffd2a27e2ea75b19bae835eb6a","Institute for Cartography, TU Dresden, Dresden, Germany; Bonn, Germany","Recent discoveries of Wehrmacht Maps in the Military Archive of the Federal Archive of Germany in Freiburg im Breisgau raised the motivation for further investigations into the history of the internationally employed Universal Transverse Mercator (UTM) projection which actually represents a prerequisite for the global use of Global Positioning System (GPS)–and thus of any type of navigation–instruments. In contrast to the frequently stated opinion that this map projection was first operationally used by U.S. Americans it turned out that presumably the first operational maps with indication of the orthogonal UTM grid were produced by German Wehrmacht officers prior to the post World War (WW) II triumph of this projection. Based on the authors´ recent discoveries this article reveals some hitherto hardly known facts concerning the history of cartography of the 1940s. © 2016 Cartography and Geographic Information Society.","geodetic grid; map history; reference grid; UTM projection; Wehrmacht Maps","Geodesy; Maps; Geodetic grids; Global use; Map projection; Reference grids; Universal Transverse Mercator; UTM grid; UTM projection; World war; Global positioning system",,,15230406,,CGSCF,,"English",Review,Scopus,2-s2.0-84954207614
"Fifty years of IAA History Symposia (1967–2016)","Acta Astronautica",10.1016/j.actaastro.2017.02.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014060649&doi=10.1016%2fj.actaastro.2017.02.013&partnerID=40&md5=ceb56678faab9099ad6c1390b5da5aed","International Academy of Astronautics, Immenstaad, Germany; International Academy of Astronautics, Arlington, TX, United States","The International Academy of Astronautics (IAA) Symposia on the History of Rocketry and Astronautics have been held annually at the International Astronautical Congresses since 1967. During these past 50 years nearly 800 papers have been presented and subsequently published in the proceedings. With a 20-year rule imposed for historical presentations, the first 10 symposia concentrated on pre-World War II and early 1950s activities. A surprisingly large number of papers on early, less well-known Soviet-Russian contributions to rocketry and astronautics were presented in the first symposia, despite the ongoing Space Race between the U.S and USSR. Another important element in these symposia involved memoir papers offered by pre- and post-war rocket and astronautics pioneers from many countries, and the participation of many of these pioneers in person. In sum, the history of national space and rocket projects from some 40 countries were presented over the years in IAA History Symposia. These 50 symposia have provided a platform for scholars and professional and non-professional historians to meet and discuss the history of rocketry and astronautics, and to personally interview many space pioneers, most of whom today are deceased. Their personal recollections have since been shared with a large audience. Over time, IAA history papers divided into recognizable periods: ancient times through the 19th century, and the 20th and 21st centuries, which separate among actions and events that took place before 1945, in 1945 to 1957, and after 1957 (which marked the beginning of the space age). Proceedings of the IAA History Symposia have been published in English, ultimately in the History Series of the American Astronautical Society (AAS) and its publishing arm, Univelt Inc., under an agreement secured with the IAA. This paper presents an overview of the IAA History Symposia. It examines the early years of the history committee and its first symposium, the evolution of subsequent symposia, and it recognizes those individuals who shaped these symposia and the publication of its proceedings. © 2017 IAA",,"Biographies; Military operations; Rockets; 19th century; American Astronautical Society; International Academy of Astronautics; Space pioneers; World war II; History",,,00945765,,AASTC,,"English",Article,Scopus,2-s2.0-85014060649
"From global to local and back: The 'Third World' concept and the new radical left in France","Journal of Global History",10.1017/S174002281600036X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012191783&doi=10.1017%2fS174002281600036X&partnerID=40&md5=2716a4b3896a32aa338c87773887e31b","Freie Universität Berlin, Friedrich-Meinecke-Institut, Koserstr. 20, Berlin, Germany","In the second half of the twentieth century, the transnational 'Third World' concept defined how people all over the globe perceived the world. This article explains the concept's extraordinary traction by looking at the interplay of local uses and global contexts through which it emerged. Focusing on the particularly relevant setting of France, it examines the term's invention in the context of the Cold War, development thinking, and decolonization. It then analyses the review Partisans (founded in 1961), which galvanized a new radical left in France and provided a platform for a communication about, but also with, the Third World. Finally, it shows how the association Cedetim (founded in 1967) addressed migrant workers in France as 'the Third World at home'. In tracing the Third World's local-global dynamics, this article suggests a praxis-oriented approach that goes beyond famous thinkers and texts and incorporates 'lesser' intellectuals and non-textual aspects into a global conceptual history in action. Copyright © 2017 Cambridge University Press.","anti-colonialism; conceptual history; decolonization; France; political left; Third World",,,,17400228,,,,"English",Review,Scopus,2-s2.0-85012191783
"Toward Embracing Multiple Perspectives in World History Curricula: Interrogating Representations of Intercultural Exchanges Between Ancient Civilizations in Quebec Textbooks","Theory and Research in Social Education",10.1080/00933104.2016.1276500,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012303671&doi=10.1080%2f00933104.2016.1276500&partnerID=40&md5=384d6a892285cb2f5e08a331b3f0e9a0","McGill University","Guided by critical discourse analysis, this study analyzes how ancient civilizations are constructed in high school history textbooks used in Quebec, Canada. The findings suggest that the narrative generally ignores 2-way intercultural exchanges. The narrative is also Eurocentric, silencing sub–Saharan Africa’s contributions and nonmaterial influences of non-Western civilizations, such as ancient Near Eastern influences on the Judeo–Christian monotheistic tradition. Such depictions normalize a dominance paradigm that sanctions the supremacy of particular civilizations, religions, or groups. Students need to develop a reflective historical consciousness that is conducive to intergroup dynamics based on respect for diversity. Thus, in studying ancient civilizations, they should be encouraged to interrogate their own worldviews, explore the interdependence of human civilizations, and engage with omitted counternarratives, alternative chronologies, and periodization. © 2017, Routledge. All rights reserved.","ancient civilizations; counternarratives; historical consciousness; intercultural exchange; Quebec; world history textbooks",,,,00933104,,,,"English",Article in Press,Scopus,2-s2.0-85012303671
"The purgatorial shadows of war: Accounting, blame and shell shock pensions, 1914–1923","Accounting History",10.1177/1032373216656648,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012113430&doi=10.1177%2f1032373216656648&partnerID=40&md5=281c73e8889a31c1a513efa0ed097ab9","University of Sussex, United Kingdom","This research analyses the role of accounting in British disablement pensions awarded to men who sustained shell shock during their Army service in the First World War. In this context, “accounting” refers to the classification of medical conditions when determining pension eligibility and awards. Pension classifications were prejudiced towards men with physical disabilities and against men with shell shock. Accounting classification’s ability to make a medical condition invisible is central to this research. The invisibility of shell shock as a medical condition in the pension classification system led to financial discrimination against men with shell shock. The immorality of this discrimination was hidden by a system of accounting classification that distanced decision-makers from the ramifications of their decisions. In addition, the Minister of Pensions adopted blame avoidance techniques to protect his Ministry and the British government from criticism occasioned by the discriminatory treatment of men with shell shock. © 2016, © The Author(s) 2016.","accounting history; blaming; distancing; First World War; pensions; scapegoating; shell shock",,,,10323732,,,,"English",Article,Scopus,2-s2.0-85012113430
"The egyptian labor corps: Workers, peasants, and the state in world war I","International Journal of Middle East Studies",10.1017/S0020743816001112,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010424140&doi=10.1017%2fS0020743816001112&partnerID=40&md5=61ed6a05ab0bd882b3c183bb27014234","Department of Near Eastern Studies, Cornell University, Ithaca, NY, United States","In this article, I detail the British imperial system of human resource mobilization that recruited workers and peasants from Egypt to serve in the Egyptian Labor Corps in World War I (1914-18). By reconstructing multiple iterations of this network and analyzing the ways that workers and peasants acted within its constraints, this article provides a case study in the relationship between the Anglo-Egyptian colonial state and rural society in Egypt. Rather than seeing these as two separate, autonomous, and mutually antagonistic entities, this history of Egyptian Labor Corps recruitment demonstrates their mutual interdependence, emphasizing the dialectical relationship between state power and political subjectivity. Copyright © Cambridge University Press 2017.","Labor; Peasants; Social history; World War I",,,,00207438,,,,"English",Review,Scopus,2-s2.0-85010424140
"The I and World history in Hegel","British Journal for the History of Philosophy",10.1080/09608788.2016.1268997,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011705797&doi=10.1080%2f09608788.2016.1268997&partnerID=40&md5=1da9c943e444b974d4f25c7ccaaf5745","School of Humanities and Communication Arts, Western Sydney University, Penrith, Australia","In this paper, I investigate the relations between the notion of the I and the conception of World history in Hegel’s philosophy. First, I address Hegel’s account of the I by reconstructing its phenomenological and logical development from consciousness to self-consciousness through recognition with the other and arguing that the project of the Philosophy of Right is normative, as it provides an account of the logical process of affirmation of the I as the normative source of the realm of objective spirit. I then argue for an account of World history as the self-conscious development and liberation of the I in time and objectivity, and I consider Hegel’s philosophy of history in light of the Philosophy of Right as the historical emergence of the I through the forms of objective spirit in history. Finally, I focus on two of the allegedly most problematic issues related to Hegel’s conception of World history: the nature and very possibility of an ‘intersubjective consciousness’ and the notion of ‘World spirit’. I conclude by outlining how the conception of World history, if reconstructed in light of Hegel’s conception of the I, can have previously unnoticed political implications. © 2017 BSHP","Hegel; intersubjective consciousness; the I; World history",,,,09608788,,,,"English",Article in Press,Scopus,2-s2.0-85011705797
"‘Knights of the Air’: joyful slaughter and the pleasures of moral survival","Journal of Gender Studies",10.1080/09589236.2016.1215970,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980370583&doi=10.1080%2f09589236.2016.1215970&partnerID=40&md5=301b6b346f8cb3d33ea8c92de9f5cda2","Women, Gender, and Sexuality Studies, Oregon State University, Corvallis, OR, United States","In this paper I investigate ‘joyful slaughter’, the pleasures of sanctioned killing, as represented in diaries and letters written during combat by World War I airmen of the British Royal Flying Corps. I suggest killing as only one, and potentially the least pleasurable, aspect of combat scenarios by examining its connection to a range of ‘regulating’ and ‘mobilising’ emotional practices centred in the interdependent geographies of chivalrous duty and exhilarating flight. I make the case for the triumph of joyful survival over joyful slaughter as a consequence of the moral performance of killing rather than being killed. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","airmen; history of emotions; masculinity; pleasure; Royal Flying Corps; World War I","flying; geography; masculinity; morality; pleasure; war",,,09589236,,,,"English",Article,Scopus,2-s2.0-84980370583
"The deadliest enemies of Australia: the politics of intelligence during the Australian conscription controversies of 1916–1917","Journal of Intelligence History",10.1080/16161262.2016.1258246,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007500684&doi=10.1080%2f16161262.2016.1258246&partnerID=40&md5=0fae942246b382590d4cf0ef5dcc8273","RMIT University, Melbourne, Australia","The subject of this paper examines the use of intelligence by the Australian government during the conscription controversies of World War One. Throughout the war, the government of William Morris Hughes had been engaged in a bitter conflict with radicals, trade unions, Irish nationalists, and members of the Labor Party over implementing the policy of military conscription. Twice the issue was put to the Australian people in a referendum, and twice it was defeated. The Hughes government saw this defeat partly as the result of the anti-conscription movement. Consequently, it had no scruples in using the intelligence services to suppress its political enemies. Within this context, this paper looks at how intelligence, throughout the conscription campaigns, became a means of suppressing political opposition and dissent. It discusses the government’s rationale for such behaviour and offers an assessment of the circumambient conditions that enabled intelligence to be used for political gain. © 2016 Journal of Intelligence History.","Australian intelligence history; conscription; Counter Espionage Bureau (CEB); military intelligence; World War One intelligence",,,,16161262,,,,"English",Article,Scopus,2-s2.0-85007500684
"Methods for extracting the important portions from the contexts in research document creation involving explorations","Journal of Computational Methods in Sciences and Engineering",10.3233/JCM-160685,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012122670&doi=10.3233%2fJCM-160685&partnerID=40&md5=6628494ca022f69676312246202411bd","Department of Computer Science and Mathematics, Fukushima University, Kanayagawa, Fukushima-shi, Fukushima, Japan; Division of Natural Science, Tokyo Gakugei University, Tokyo, Japan","Research activities are composed of stacks of several tasks such as surveys, creation of novel ideas, writing of research documents, and their elaboration. It is quite important to successfully accumulate the results and circumstances of these tasks (i.e., contexts). It is further important but difficult to understand the contexts and to apply them to later work. In particular, it is much more difficult for research beginners to ensure noteworthy targets within contexts that continuously increase as the work progresses. The final goal of this research is to develop methods for supporting the accumulation of contexts and facilitating their utilization by visually presenting those that are noteworthy to research beginners. This paper mainly describes a method for organizing the contexts and extracting important portions from huge organized contexts. This paper also describes an experiment that was conducted by using actual history data, and discusses the features of the proposed methods on the basis of the results. © 2017 - IOS Press and the authors. All rights reserved.","Context information; context network; learning analytics; research activity support; research documenting; small world","Computation theory; Computer applications; Context information; History data; learning analytics; nocv1; Research activities; Small worlds; Computational methods","25702007, JSPS, Japan Society for the Promotion of Science","Acknowledgments This work was supported in part by the Ministry of Education, Culture, Sports, Science and Technology, Japan, and by the Japan Society for the Promotion of Science under a Grant-in-Aid for Young Scientists (A) (No. 25702007). We would like to sincerely thank Mr. Shuhei Abe for his invaluable contributions to the initial stages of this project.",14727978,,,,"English",Conference Paper,Scopus,2-s2.0-85012122670
